score_bin,bin_order,n_papers,n_accept,n_reject,acceptance_rate,accept_mean_sentiment,reject_mean_sentiment,sentiment_gap,ci_low,ci_high
0-10,0,605,0,605,0.0,,0.4054229944903581,,,
10-20,1,618,3,615,0.0048543689320388345,0.46871111111111113,0.5062942466124661,-0.037583135501355,-0.40951709158510274,0.33435082058239274
20-30,2,573,4,569,0.006980802792321117,0.5374916666666667,0.5514816921918152,-0.013990025525148497,-0.3286595835834103,0.3006795325331133
30-40,3,483,22,461,0.045548654244306416,0.7397043939393939,0.6156589541369692,0.12404543980242466,0.010436097886948395,0.23765478171790094
40-50,4,656,49,607,0.07469512195121951,0.7127076870748299,0.6588476359143328,0.05386005116049708,-0.027106097932671366,0.13482620025366554
50-60,5,544,138,406,0.2536764705882353,0.6261424033816426,0.6440095548909218,-0.0178671515092792,-0.092646362301559,0.056912059283000596
60-70,6,649,295,354,0.45454545454545453,0.6890726949152544,0.7094330790960451,-0.02036038418079078,-0.07491389402321724,0.03419312566163568
70-80,7,625,514,111,0.8224,0.7076650518806744,0.8019024174174175,-0.09423736553674311,-0.1451365997587024,-0.04333813131478382
80-90,8,645,611,34,0.9472868217054263,0.7837459999220637,0.7803893627450981,0.00335663717696566,-0.08241514020656382,0.08912841456049514
90-100,9,524,523,1,0.9980916030534351,0.8211957042702359,-0.321125,1.142320704270236,1.121642101351683,1.1629993071887887
