feature,coef,std_err,z,pvalue,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high,n,disagreement_level,pseudo_r2
const,-2.3621998260546824,0.15229866720127574,-15.510311872479047,0.0,-2.660705213769183,-2.063694438340182,0.09421274342260245,0.06989891068501393,0.12698396779330803,2008,low,0.6562913037835008
mean_score,6.498244810602539,0.36081694344143345,18.009810594322357,0.0,5.7910436014573285,7.205446019747749,663.9752074505993,327.35447378233476,1346.7452300719312,2008,low,0.6562913037835008
score_std,-0.07515885530781696,0.08613731751643783,-0.8725469688961951,0.3829100565572592,-0.2439879976400351,0.09367028702440117,0.9275961210566447,0.7834970380199106,1.0981975962204822,2008,low,0.6562913037835008
num_reviews,-0.07574970190687612,0.08044897087668305,-0.941586959800763,0.34640414860159696,-0.2334296848251749,0.08193028101142268,0.9270482159230997,0.7918132702713703,1.0853801355863388,2008,low,0.6562913037835008
mean_sentiment,-0.2343623419065758,0.09319474652536419,-2.5147591537554206,0.011911372419313171,-0.4170240450962896,-0.05170063871686198,0.7910751242897492,0.6590050739131542,0.9496131016929197,2008,low,0.6562913037835008
mean_politeness,0.2362989260835048,0.09631397052722457,2.453423161665954,0.014150376717446234,0.04752354385014465,0.425074308316865,1.266552859270734,1.0486708905809405,1.5297040851760508,2008,low,0.6562913037835008
mean_toxicity,0.027297009993128195,0.09179354313954385,0.29737396618007744,0.7661810171508181,-0.15261833456037774,0.20721235454663414,1.0276729865866074,0.8584573027781122,1.23024379190681,2008,low,0.6562913037835008
mean_constructiveness,-0.13253285355382513,0.09279315939697763,-1.4282610314714843,0.1532167396923132,-0.3144074459719013,0.04934173886425103,0.8758741580547122,0.7302214417533123,1.0505793131821186,2008,low,0.6562913037835008
const,-2.627067770183795,0.1854736030194352,-14.164105982825559,0.0,-2.990596032101888,-2.2635395082657017,0.07229012302222448,0.05025747272762178,0.10398178823855161,2006,medium,0.7415565262138029
mean_score,6.336246791432631,0.3398125004541515,18.64630283748945,0.0,5.670214290542494,7.0022792923227675,564.6729937292891,290.09669270918334,1099.1355567326125,2006,medium,0.7415565262138029
score_std,-0.026039640990402638,0.08291144700620846,-0.31406569214083035,0.7534711458193724,-0.1885460771225712,0.13646679514176596,0.9742964667663421,0.8281623432216948,1.1462168171769527,2006,medium,0.7415565262138029
num_reviews,0.013137734675259659,0.09996797213191613,0.13141943759670663,0.8954435130369451,-0.18279949070329596,0.2090749600538153,1.0132244138850024,0.8329351502357306,1.2325373861363158,2006,medium,0.7415565262138029
mean_sentiment,0.1872567470321851,0.11136494592214767,1.6814693841192307,0.09267177836579199,-0.031018546975224354,0.4055320410395945,1.2059368660175793,0.9694575924033355,1.500100402757233,2006,medium,0.7415565262138029
mean_politeness,0.12310988010670106,0.11656110241894513,1.0561832168009035,0.2908845169480705,-0.10534988063443139,0.3515696408478335,1.131008689475524,0.9000095715719523,1.4212967240280923,2006,medium,0.7415565262138029
mean_toxicity,0.04131542871721383,0.10113348349759453,0.40852373801794856,0.6828892065968089,-0.15690619893807145,0.2395370563724991,1.0421807874537894,0.8547842347262707,1.2706607698323047,2006,medium,0.7415565262138029
mean_constructiveness,-0.16963248806085168,0.11784078553769486,-1.4395057474102606,0.15000728274463437,-0.4006004277147336,0.06133545159303025,0.8439749304709074,0.6699176881077715,1.0632555251306999,2006,medium,0.7415565262138029
const,-1.7137825969507523,0.09244156521691865,-18.539091078015367,0.0,-1.8949680647759128,-1.5325971291255918,0.18018294250902853,0.15032313557276697,0.2159740258710616,1908,high,0.44984651828169375
mean_score,2.702644491637977,0.13113117879902453,20.6102356158952,0.0,2.4456273811918887,2.959661602084065,14.919133126370724,11.537785918517379,19.29144246689006,1908,high,0.44984651828169375
score_std,0.18559132503373932,0.07007287827800261,2.648547192502016,0.00808385618037133,0.0482484836088542,0.32293416645862444,1.2039301437157355,1.0494313894279435,1.381174420309175,1908,high,0.44984651828169375
num_reviews,-0.197956193172496,0.0722490528228729,-2.739914025693998,0.006145525768104898,-0.3395643367053269,-0.05634804963966511,0.8204057917256489,0.7120804825241811,0.9452100985988373,1908,high,0.44984651828169375
mean_sentiment,-0.017354673489095515,0.0744307654894075,-0.2331653231695611,0.8156330318753371,-0.1632389738483342,0.1285296268701432,0.9827950514631243,0.8493881825962909,1.1371551111389608,1908,high,0.44984651828169375
mean_politeness,0.03830298384348491,0.0778547796757503,0.49197986306054986,0.622733579022404,-0.11429238432098568,0.1908983520079555,1.0390459993419516,0.8919971117810546,1.210336417561756,1908,high,0.44984651828169375
mean_toxicity,0.07808688390495158,0.06854816859792091,1.1391534668560055,0.25463915021104744,-0.056267526546973395,0.21244129435687656,1.0812165949091146,0.9452862129036584,1.2366935105463188,1908,high,0.44984651828169375
mean_constructiveness,0.11682658603661725,0.08037112310643303,1.4535890693216686,0.14606026920281634,-0.040700815251991485,0.274353987325226,1.1239245085864278,0.960116339146337,1.3156804540212186,1908,high,0.44984651828169375
