feature,year,effect,std_err,ci_low,ci_high,n_accept,n_reject
mean_sentiment,2018,0.18604710454234186,0.02375288413129715,0.13949145164499943,0.23260275743968428,337,585
mean_sentiment,2019,0.18854060623049806,0.02321176393030758,0.1430455489270952,0.23403566353390093,391,609
mean_sentiment,2020,0.17963101426460992,0.024486702012123517,0.13163707832084784,0.227624950208372,313,687
mean_sentiment,2021,0.12328849106768336,0.021132074955762418,0.08186962415438902,0.1647073579809777,316,684
mean_sentiment,2022,0.18879994403678407,0.021411549653418186,0.14683330671608444,0.2307665813574837,395,605
mean_sentiment,2023,0.17803500491183466,0.02235574848771797,0.13421773787590743,0.2218522719477619,407,593
mean_politeness,2018,0.10600256443751288,0.024672546993857354,0.05764437232955247,0.1543607565454733,337,585
mean_politeness,2019,0.09099838854378561,0.022217254734776145,0.04745256926362437,0.13454420782394685,391,609
mean_politeness,2020,0.09518084554124823,0.024252710368123764,0.04764553321972565,0.1427161578627708,313,687
mean_politeness,2021,0.06356686165700132,0.01963712866792623,0.02507808946786591,0.10205563384613672,316,684
mean_politeness,2022,0.058680372637832434,0.026858738580079276,0.006037245020877054,0.11132350025478782,395,605
mean_politeness,2023,0.06745126988868921,0.019297631952085722,0.029627911262601198,0.10527462851477723,407,593
mean_toxicity,2018,0.0010266924914253267,0.0008555835121669463,-0.000650251192421888,0.0027036361752725414,337,585
mean_toxicity,2019,0.0005049120735362009,0.0003833772802970583,-0.00024650739584603334,0.0012563315429184353,391,609
mean_toxicity,2020,-0.0008167168212957105,0.0003873150911438988,-0.001575854399937752,-5.7579242653668845e-05,313,687
mean_toxicity,2021,2.2566530312798138e-05,0.000538032177898189,-0.0010319765383676523,0.0010771095989932486,316,684
mean_toxicity,2022,-5.4193198753556366e-05,5.419319875355635e-05,-0.0001604118683105268,5.202547080341408e-05,395,605
mean_toxicity,2023,-0.0010370826541173264,0.001115730956880286,-0.003223915329602687,0.001149750021368034,407,593
mean_constructiveness,2018,0.10541214201214566,0.03530142021764396,0.03622135838556351,0.1746029256387278,337,585
mean_constructiveness,2019,0.05148658372321169,0.032927889484314195,-0.01305207966604413,0.1160252471124675,391,609
mean_constructiveness,2020,-0.011945185475124243,0.03338499339874537,-0.07737977253666517,0.053489401586416685,313,687
mean_constructiveness,2021,0.007481472827495672,0.02902528873554276,-0.04940809309416813,0.06437103874915948,316,684
mean_constructiveness,2022,-0.017244450275794132,0.03332761725105293,-0.08256658008785787,0.04807767953626961,395,605
mean_constructiveness,2023,0.014122849548192207,0.028028877463322884,-0.040813750279920645,0.06905944937630507,407,593
